TIC,CTOI,Flag,Othe name,Epoch (BTJD),Epoch (BTJD) uper,Epoch (BTJD) lerr,Period (d),Period uerr,Period derr,Rpl/Rs,Rpl/Rs uerr,Rpl/Rs derr,Rpl (R earth),Rpl (R earth) uerr,Rpl (R earth) derr,Impact parameter,Impact parameter uerr,Impact parameter derr,Duration (h),Duration (h) uerr,Duration (h) derr,Vmag,Photometry,Spectroscopy,Speckle,Comment
101641905,101641905.01,,TWOMASS 11412617+3441004,1917.26335,+0.00071,−0.00072,14.52,+6.21,−5.25(s),0.1135,+0.0032,−0.0064,9.76,+0.65,−0.69,0.691,+0.077,−0.183,3.163,+0.093,−0.088,12.196,,,,
103633672,103633672.01,∗,TYC 4387-00923-1,1850.3211,+0.00135,−0.00077,90.9,+46.4,−23.7(s),0.0395,+0.0013,−0.0013,3.45,+0.26,−0.24,0.3,+0.26,−0.21,6.7,+0.12,−0.11,10.586,,NRES(1),,
110996418,110996418.01,,TWOMASS 12344723−1019107,1580.6406,+0.0037,−0.0038,5.18,+6.86,−2.93(s),0.1044,+0.008,−0.0067,12.7,+1.15,−0.99,0.44,+0.3,−0.3,3.53,+0.36,−0.27,13.945,,,,
128703021,128703021.01,,HIP 71639,1601.8442,+0.00093,−0.00108,26,+22.35,−8.22(s),0.0254,+0.00072,−0.00049,4.44,+0.23,−0.2,0.47,+0.22,−0.3,7.283,+0.141,−0.091,6.06,,NRES(2);MINERVA(34),Gemini,
138126035,138126035.01,,TYC 1450-00833-1,1954.3229,+0.0067,−0.0041,28.8,+203.2,−14.0(s),0.0375,+0.0069,−0.0026,4.01,+0.74,−0.35,0.58,+0.35,−0.38,4.65,+0.85,−0.32,10.349,,,,
142087638,142087638.01,,TYC 9189-00274-1,1512.1673,+0.0034,−0.0043,3.14,+12.04,−1.41(s),0.0469,+0.0063,−0.0035,6.05,+0.89,−0.54,0.5,+0.36,−0.35,2.72,+0.5,−0.23,11.526,,,,
159159904,159159904.01,,HIP 64812,1918.6109,+0.0091,−0.0067,584,+1724.0,−215.0(s),0.0237,+0.0026,−0.0011,3.12,+0.36,−0.22,0.49,+0.35,−0.34,15.11,+0.7,−0.54,9.2,,NRES(2),,
160039081,160039081.01,∗,HIP 78892,1752.9261,+0.005,−0.0045,30.19918,+0.00094,−0.00099,0.0211,+0.0035,−0.0013,2.67,+0.43,−0.21,0.52,+0.36,−0.34,4.93,+0.37,−0.27,8.35,SBIG(1),NRES(1);SOPHIE(4),Gemini,
162631539,162631539.01,,HIP 80264,1978.2794,+0.0051,−0.0044,17.32,+52.35,−6.66(s),0.0195,+0.0024,−0.0011,2.94,+0.38,−0.24,0.48,+0.36,−0.33,5.54,+0.41,−0.33,7.42,,,,
166184426,166184426.01,∗,TWOMASS 13442500−4020122,1600.4409,+0.0036,−0.003,16.3325,+0.0052,−0.0066,0.0545,+0.0039,−0.0031,1.85,+0.15,−0.12,0.41,+0.31,−0.28,1.98,+0.17,−0.22,12.911,,,,
167661160,167661160.01,,TYC 7054-01577-1,1442.0703,+0.004,−0.0028,36.802,+0.069,−0.07,0.0307,+0.0024,−0.0014,4.07,+0.43,−0.32,0.37,+0.33,−0.26,5.09,+0.21,−0.23,9.927,,NRES(9);MINERVA(4),,EB from MINERVA observations
172370679,172370679.01,∗,TWOMASS 19574239+4008357,1711.95923,+0.001,−0.00099,32.84,+5.59,−4.17(s),0.1968,+0.0022,−0.0032,13.24,+0.43,−0.43,0.22,+0.14,−0.15,4.999,+0.111,−0.097,14.88,,,,Confirmed planet(Ca˜nas et al. 2020).
174302697,174302697.01,∗,TYC 3641-01789-1,1743.7267,+0.00093,−0.00092,498.2,+95.3,−80.0(s),0.07622,+0.00063,−0.00068,13.34,+0.58,−0.57,0.642,+0.024,−0.029,17.71,+0.13,−0.12,9.309,SBIG(1),,,
179582003,179582003.01,,TYC 9166-00745-1,1518.4688,+0.0016,−0.0016,104.6137,+0.0022,−0.0022,0.06324,+0.0008,−0.0008,7.51,+0.35,−0.35,0.21,+0.19,−0.15,9.073,+0.097,−0.084,10.806,,,,
