TIC ID,CTOI,TOI,Disposition,Has Time Series,Has Spectroscopy,Has Imaging,CTOI Notes,TOI Comments,Paper Comment,WTV Sectors,TFOPWG Disposition,TOI Master Priority,TOI Time Series Observations,TOI Spectroscopy Observations,TOI Imaging Observations,Paper Photometry,Paper Spectroscopy,Paper Speckle,TESS Mag,Transit Epoch (BTJD),Period (days),Depth ppm,Duration (hrs),Planet Radius (R_Earth),Stellar Distance (pc),Stellar Eff Temp (K),Approximate Absolute TESS Mag,Stellar Radius (R_Sun),RA,Dec,CTOI lastmod,TOI Date Modified
3224605,3224605.01,5552.01,PC,False,True,True,PHT Community. Saturn sized - 3 transits,,,"19,43,44,45,59,71,73,",PC,3,0,2,1,,,,11.9901,2483.0109999999404,28.64507,8012.9836,4.2852,8.6475,287.606,5639.5,4.696110289990443,0.883211,82.384951,33.246886,2022-01-04 02:47:35,2023-02-08 00:00:00
4843495,4843495.01,5719.01,PC,False,True,False,PHT candidate. Two transits separated by ~757 d. Events are low S/N.,possible single transit at ~2633 TBJD; v-shaped; low SNR,,"21,48,",PC,3,0,1,0,,,,9.67055,1875.5499999998137,,433.0,8.0,2.5,155.483,6347.0,3.7121354418607817,1.10473,147.003946,30.17842,2022-03-31 12:53:39,2022-12-14 12:09:24
5364106,5364106.01,,,False,False,False,PHT candidate. Single transit event.,,,"8,35,62,",,,,,,,,,11.0866,2259.214999999851,,1600.0,6.4,5.4,299.679,5964.0,3.70331844582668,1.26252,139.231123,-20.676234,2021-05-20 00:54:37,
5364106,5364106.02,,,False,False,False,PHT single transit.,,,"8,35,62,",,,,,,,,,11.0866,2256.435000000056,,1500.0,13.7,5.4,299.679,5964.0,3.70331844582668,1.26252,139.231123,-20.676234,2022-11-22 09:15:33,
5966772,5966772.01,,,False,False,False,PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD.,,,"10,37,64,",,,,,,,,,10.4795,2331.100000000093,,1200.0,,2.8,87.0611,4677.0,5.780379249589857,0.750312,193.398197,-23.119791,2021-10-14 03:50:08,
7422496,7422496.01,4189.01,FP_CTOI,True,True,True,Planet Hunters TESS candidate. Single transit event.,,SB 2 from MINERVA observations.,"5,6,31,32,33,",PC,1,6,3,3,,MINERVA(4),,8.7601,1470.3539999998175,0.0,700.0,5.9,2.4,69.6026,5744.0,4.546972685240096,0.879321,81.348892,-44.431285,2020-01-24 10:25:52,2022-12-14 12:09:24
9707944,9707944.01,,,False,False,False,"PHT candidate. Two transits in sector 2, one in 29 and 1 in 42.",,,"2,29,42,69,70,",,,,,,,,,10.6939,2107.4849999998696,19.7357,1340.0,5.09,4.1,209.632,5985.0,4.08661211124077,1.03501,358.005905,-9.349538,2022-01-23 23:57:13,
17932757,17932757.01,5718.01,PC,False,True,False,PHT candidate. Two transits in Sectors 22 and 48.,duo-transit two years apart; actual period is likely shorter,,"22,48,",PC,2,0,1,0,,,,10.8075,1903.5460000000894,,1400.0,4.3,2.7,65.9721,3922.0,6.710698456974094,0.672256,170.27386,41.576429,2022-03-31 07:46:45,2022-12-14 12:09:24
24795168,24795168.01,,,False,False,False,PHT candidate. Single transit event. We caution that the event is close to a momentum dump.,,,"16,17,57,",,,,,,,,,8.84986,1764.8849999997765,,866.0,5.7,4.8,127.83,5908.0,3.3166960553994205,1.48933,350.168842,48.764353,2021-03-29 01:30:52,
26547036,26547036.01,2010.01,PC,True,True,True,PHT candidate. Single transit event.,roughly Jupiter size; multiple stars in pixel; CTOI from Planet Hunters; addition transit detected in s56; period updated to maximum period between two transits but actual period is likely shorter,,"14,15,16,40,54,55,56,74,75,76,80,81,82,83,",PC,3,2,9,4,,NRES(4),Gemini,9.26693,1712.2999999998137,0.0,10000.0,8.5,11.0,109.19,5842.0,4.076015670046699,1.07352,292.166942,53.487369,2020-05-16 03:23:02,2022-12-16 12:08:26
